Date,Time,Location,Operator,Flight Number,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground
05/08/2003,12:00,"Near Kinshasa, Congo",Ukrainian Cargo Airlines -  Congolese Army Charter,655,Kinshasa - Lubumbashi,Illyushin 76,UR-UCB,63467003,200,129,0
05/26/03,04:45,"Near Macka, Turkey",Ukranian-Mediterranean Airlines,656,"Kabul, Afghanistan - Trabzon, Turkey - Zaragoza, Spain",Yakovlev 42D,UR-42352,2042181195,75,75,0
05/28/03,13:30,"Talkeetna, Alaska",McKinley Air Service - Air Taxi,657,Unknown,Cessna 185,N70176,18502037,4,4,0
06/01/2003,15:26,"Milan, Italy",Eurojet Italila,658,Milan - Genoa - Farnborough,Gates Learjet 45,I-ERJC,45-093,2,2,0
06/04/2003,12:00,"Near Oiapoque,  Brazil",Air Taxi - Marco Zero Air Taxi,659,Oiapoque - Macapa,EMB 721C Sertanejo,PT-EPH,Unknown,5,5,0
06/06/2003,19:15,"Christchurch, New Zealand",Charter - Air Adventures New Zealand Ltd,660,Palmerston North - Christchurch,Piper PA-31-350 Navajo Chieftain,ZK-NCA,31-7405203,10,8,0
06/11/2003,12:00,"Belo Horizonte, Brazil",Astro Air Taxi,661,Unknown,Embraer 820C Navajo,PT-EHH,Unknown,4,4,0
06/15/03,09:35,"Volcano, Hawaii",Paradise Tour Helicopters,662,Sightseeing,McDonnell Douglas 369D,N4493M,570137D,4,4,0
06/22/03,23:55,"Near Brest, France",Brit Air,663,Nantes - Brest,Canadair CRJ-100ER,F-GRJS,7377,24,1,0
06/25/03,13:00,"Near Rudshour, Iran",Military - IslamiRepubliof Iran Air Force,664,Unknown,Lockheed C-130 Hercules,Unknown,Unknown,7,7,0
06/25/03,15:50,"Anchor Point, Alaska",Hallo Bay Air - Air Taxi,665,"Hallo Bay, AK - Homer, AK",Cessna 180H,N91303,18052039,3,3,0
06/26/03,19:30,"Near Rooisand Desert Ranch, Namibia",ComvaAviation,666,Unknown,Cessna 208B Grand Caravan,V5-CAS,208B-0549,4,4,0
06/30/03,10:50,"Blida, Algeria",Military - Algerian Air Force,667,Training,Lockheed C-130H Hercules,7T-WHQ,4926,4,4,11
07/01/2003,19:57,"Belem, Para, Brazil",Heringer Air Taxi,668,Unknown,Mitsubishi MU 2B 35,PT-LFX,Unknown,4,4,0
07/05/2003,11:30,"Macaí©, Rio de Janeiro, Brazil",BHS - Brazilian Helicopter Services,669,Unknown,Sikorsky  S 76 A,PT-YVM,Unknown,5,5,0
07/08/2003,04:00,"Port Sudan, Sudan",Sudan Airways,670,Port Sudan - Khartoum,Boeing 737-2J8C,ST-AFK,21169/429,117,116,0
